Threads
thread	group	parent	class	method
--------------------------------------------------------------
0x80a4b80	Finalizer	system	<unknown>	
0x80a3e38	Reference Handler	system	<unknown>	
0x8246ea8	Signal Dispatcher	system	<unknown>	
0x8244db0	jmp-gtk	system	<unknown>	



Classdump
class_name	#instaces	max #instances	size	#GC	tenure
java.util.zip.ZipFile	java.util.zip.ZipEntry getEntry (java.lang.String)	0.006532000	525	0.005726000	71	5680
perf	void main (java.lang.String[])	0.006414000	1	0.124153000	170	17896
java.lang.String	void getChars (int, int, char[], int)	0.006319000	911	0.003355000	0	0
java.util.zip.Inflater	int inflateBytes (byte[], int, int)	0.006065000	148	0.000029000	2	120
sun.reflect.ByteVectorImpl	void add (byte)	0.005616000	1783	0.000087000	0	0
sun.nio.cs.UTF_8$Encoder	java.nio.charset.CoderResult encodeLoop (java.nio.CharBuffer, java.nio.ByteBuffer)	0.005587000	179	0.014389000	0	0
java.util.HashMap	java.lang.Object put (java.lang.Object, java.lang.Object)	0.005425000	299	0.016523000	0	0
java.nio.Buffer	void <init> (int, int, int, int)	0.005270000	492	0.003254000	0	0
java.lang.AbstractStringBuilder	void expandCapacity (int)	0.004747000	479	0.001610000	479	72880
sun.misc.URLClassPath	sun.misc.URLClassPath$Loader getLoader (int)	0.004745000	454	0.503462000	0	0
java.lang.Character	int toLowerCase (int)	0.004656000	639	0.006280000	0	0
java.lang.String	void <init> (char[], int, int)	0.004355000	441	0.001479000	441	52920
java.lang.CharacterDataLatin1	int toLowerCase (int)	0.004306000	639	0.001974000	0	0
java.util.jar.JarFile	java.util.zip.ZipEntry getEntry (java.lang.String)	0.004132000	525	0.013495000	71	6816
java.nio.Buffer	java.nio.Buffer position (int)	0.003983000	1250	0.000000000	0	0
java.util.jar.JarFile	java.util.jar.JarEntry getJarEntry (java.lang.String)	0.003633000	525	0.017627000	0	0
sun.reflect.ClassFileAssembler	void emitConstantPoolUTF8 (java.lang.String)	0.003566000	54	0.020197000	0	0
java.util.HashMap	int hash (java.lang.Object)	0.003553000	506	0.012973000	0	0
sun.misc.URLClassPath	sun.misc.Resource getResource (java.lang.String, boolean)	0.003421000	46	0.551066000	0	0
java.util.jar.Attributes$Name	boolean isValid (java.lang.String)	0.003348000	30	0.005867000	0	0
sun.reflect.UTF8	byte[] encode (java.lang.String)	0.003270000	54	0.007404000	54	1496
java.util.zip.ZipFile	long getEntry (long, java.lang.String, boolean)	0.003215000	598	0.000029000	2	112
java.nio.charset.CharsetEncoder	java.nio.charset.CoderResult encode (java.nio.CharBuffer, java.nio.ByteBuffer, boolean)	0.003197000	179	0.021573000	0	0
java.nio.ByteBuffer	void <init> (int, int, int, int, byte[], int)	0.003172000	297	0.006161000	0	0
java.lang.StringBuilder	java.lang.StringBuilder append (java.lang.String)	0.003109000	461	0.013703000	0	0
sun.reflect.ClassFileAssembler	void emitShort (short)	0.003102000	268	0.005688000	0	0
java.util.ArrayList	java.lang.Object get (int)	0.003050000	450	0.001438000	0	0
java.lang.String	int lastIndexOf (int)	0.003044000	236	0.000836000	0	0
java.util.jar.Attributes$Name	boolean isValid (char)	0.003028000	443	0.001463000	0	0
sun.misc.URLClassPath$JarLoader	sun.misc.Resource getResource (java.lang.String, boolean)	0.003010000	430	0.036661000	0	0
sun.reflect.ClassFileAssembler	void append (sun.reflect.ByteVector)	0.003009000	3	0.004266000	0	0
java.lang.String	java.lang.String toLowerCase (java.util.Locale)	0.002977000	145	0.010558000	48	1608
java.util.zip.ZipFile	java.io.InputStream getInputStream (java.lang.String)	0.002974000	73	0.021678000	144	8080
sun.reflect.UTF8	int utf8Length (java.lang.String)	0.002902000	54	0.002243000	0	0
java.lang.StringCoding	byte[] encode (java.lang.String, char[], int, int)	0.002847000	162	0.063619000	0	0
java.nio.CharBuffer	void <init> (int, int, int, int, char[], int)	0.002823000	195	0.003293000	0	0
java.lang.ThreadLocal	java.lang.Object get ()	0.002604000	179	0.003111000	0	0
java.lang.StringBuilder	java.lang.String toString ()	0.002599000	281	0.003771000	281	6744
java.lang.CharacterDataLatin1	int getProperties (int)	0.002586000	832	0.000000000	0	0
java.lang.String	int indexOf (int)	0.002565000	282	0.000967000	0	0
sun.misc.URLClassPath$JarLoader	java.util.jar.JarFile getJarFile (java.net.URL)	0.002529000	60	0.274392000	120	3872
java.util.zip.ZipFile$MappedZipFileInputStream	void close ()	0.002351000	146	0.001690000	0	0
sun.misc.URLClassPath$JarLoader	void <init> (java.net.URL, java.net.URLStreamHandler, java.util.HashMap)	0.002351000	60	0.307005000	120	4320
java.util.HashMap	int indexFor (int, int)	0.002325000	753	0.000000000	0	0
java.util.zip.InflaterInputStream	int read (byte[], int, int)	0.002263000	74	0.018237000	0	0
sun.misc.ASCIICaseInsensitiveComparator	int lowerCaseHashCode (java.lang.String)	0.002229000	21	0.003797000	0	0
java.lang.AbstractStringBuilder	void <init> (int)	0.002228000	375	0.000000000	375	25944
java.util.zip.ZipFile	void <init> (java.io.File, int)	0.002227000	46	0.114670000	92	1840
java.util.zip.ZipFile$MappedZipFileInputStream	void <init> (java.util.zip.ZipFile, long, java.lang.String)	0.002226000	73	0.009658000	0	0
java.util.HashMap	java.lang.Object get (java.lang.Object)	0.002216000	139	0.008041000	0	0
java.net.URLStreamHandler	java.lang.String toExternalForm (java.net.URL)	0.002127000	83	0.009470000	83	1328
java.nio.Buffer	java.nio.Buffer limit (int)	0.002121000	638	0.000000000	0	0
java.net.URLStreamHandler	int hashCode (java.net.URL)	0.002086000	61	0.002523000	0	0
java.lang.Character	char toLowerCase (char)	0.002051000	304	0.005316000	0	0
java.nio.DirectByteBuffer	java.nio.ByteBuffer get (byte[], int, int)	0.002032000	76	0.002108000	0	0
java.lang.StringCoding	java.lang.Object deref (java.lang.ThreadLocal)	0.002018000	178	0.006191000	0	0
java.util.HashMap	void addEntry (int, java.lang.Object, java.lang.Object, int)	0.002000000	199	0.001879000	199	4776
java.lang.String	java.lang.String substring (int, int)	0.001979000	222	0.000621000	191	4584
sun.misc.ASCIICaseInsensitiveComparator	int toLower (int)	0.001970000	296	0.000912000	0	0
org.openscience.cdk.AtomContainer	void addAtom (org.openscience.cdk.interfaces.IAtom)	0.001953000	100	0.008909000	0	0
java.lang.String	int hashCode ()	0.001949000	589	0.000000000	0	0
java.nio.charset.CoderResult	boolean isUnderflow ()	0.001906000	568	0.000000000	0	0
java.lang.StringBuilder	void <init> ()	0.001893000	281	0.001705000	0	0
java.nio.ByteBuffer	int arrayOffset ()	0.001865000	602	0.000000000	0	0
java.io.File	void <init> (java.lang.String)	0.001855000	119	0.047979000	0	0
java.util.Properties	void load (java.io.InputStream)	0.001837000	1	0.002409000	2	2096
java.security.Provider	java.lang.Object put (java.lang.Object, java.lang.Object)	0.001835000	67	0.016505000	67	1072
java.util.zip.ZipFile	void ensureOpen ()	0.001830000	598	0.000000000	0	0
java.nio.CharBuffer	java.nio.CharBuffer wrap (char[], int, int)	0.001796000	195	0.007423000	195	9360
java.nio.CharBuffer	int arrayOffset ()	0.001795000	585	0.000000000	0	0
java.lang.StringBuffer	java.lang.StringBuffer append (java.lang.String)	0.001790000	264	0.005015000	0	0
java.util.zip.Inflater	long init (boolean)	0.001752000	41	0.000028000	2	104
java.nio.ByteBuffer	java.nio.ByteBuffer wrap (byte[], int, int)	0.001684000	178	0.006852000	178	8544
sun.misc.FileURLMapper	java.lang.String getPath ()	0.001644000	120	0.075743000	0	0
java.lang.String	boolean equals (java.lang.Object)	0.001636000	520	0.000000000	0	0
java.util.HashMap	java.lang.Object maskNull (java.lang.Object)	0.001626000	506	0.000000000	0	0
java.lang.ClassLoader	java.lang.Class findBootstrapClass (java.lang.String)	0.001626000	37	0.000962000	69	3184
java.util.zip.ZipFile	java.util.zip.Inflater getInflater ()	0.001613000	71	0.004625000	41	1640
java.lang.Throwable	java.lang.Throwable fillInStackTrace ()	0.001587000	98	0.000000000	327	27032
java.lang.StringCoding	byte[] trim (byte[], int)	0.001579000	162	0.000587000	162	11592
java.util.regex.Pattern$categoryNames	void <clinit> ()	0.001532000	1	0.004666000	68	1160
java.net.URL	void <init> (java.net.URL, java.lang.String, java.net.URLStreamHandler)	0.001528000	29	0.022294000	0	0
org.openscience.cdk.ChemObject	void addListener (org.openscience.cdk.interfaces.IChemObjectListener)	0.001500000	100	0.005777000	0	0
java.util.jar.JavaUtilJarAccessImpl	boolean jarFileHasClassPathAttribute (java.util.jar.JarFile)	0.001462000	46	0.146902000	0	0
java.lang.String	java.lang.String concat (java.lang.String)	0.001441000	74	0.001752000	148	7952
java.util.ArrayList	void RangeCheck (int)	0.001438000	450	0.000000000	0	0
sun.net.www.protocol.jar.Handler	void parseURL (java.net.URL, java.lang.String, int, int)	0.001435000	22	0.013238000	44	528
java.lang.String	boolean startsWith (java.lang.String, int)	0.001428000	402	0.000000000	0	0
java.util.Hashtable	java.lang.Object put (java.lang.Object, java.lang.Object)	0.001409000	96	0.000677000	96	2304
java.lang.String	boolean startsWith (java.lang.String)	0.001409000	207	0.000758000	0	0
java.util.zip.ZipFile$MappedZipFileInputStream	int read (byte[], int, int)	0.001406000	76	0.007918000	0	0
java.lang.ClassLoader	boolean checkName (java.lang.String)	0.001401000	134	0.001752000	0	0
